날짜,단계,승패여부
2019-06-01,2,1
2019-06-02,2,0
2019-06-04,3,0
2019-06-05,2,1
2019-06-06,3,1
2019-06-07,2,1
2019-06-08,2,0
2019-06-09,2,0
2019-06-11,2,1
2019-06-12,2,0
2019-06-13,2,0
2019-06-14,2,0
2019-06-15,2,0
2019-06-16,2,0
2019-06-18,3,0
2019-06-19,3,0
2019-06-20,3,1
2019-06-21,3,0
2019-06-22,3,1
2019-06-23,3,0
2019-06-25,2,1
2019-06-27,3,0
2019-06-28,3,0
2019-06-30,3,0
2019-07-02,2,0
2019-07-03,3,0
2019-07-04,3,0
2019-07-05,4,0
2019-07-06,3,1
2019-07-07,3,0
2019-07-09,3,1
2019-07-11,3,0
2019-07-12,3,0
2019-07-13,3,1
2019-07-14,3,0
2019-07-16,3,0
2019-07-17,2,0
2019-07-18,3,0
2019-07-26,4,0
2019-07-27,4,0
2019-07-28,4,0
2019-07-30,3,0
2019-07-31,4,1
2019-08-01,4,1
2019-08-03,4,0
2019-08-04,4,1
2019-08-06,4,0
2019-08-07,4,1
2019-08-08,4,0
2019-08-09,4,0
2019-08-10,4,0
2019-08-11,4,1
2019-08-13,4,0
2019-08-14,4,1
2019-08-15,4,0
2019-08-16,4,1
2019-08-17,3,1
2019-08-18,3,1
2019-08-20,4,0
2019-08-22,3,0
2019-08-23,2,0
2019-08-24,3,0
2019-08-25,3,0
2019-08-27,3,0
2019-08-28,3,1
2019-08-30,2,1
2019-08-31,2,0
2019-09-01,3,1
2019-09-03,2,0
2019-09-04,3,0
2019-09-05,3,1
2019-09-06,3,0
2019-09-07,4,1
2019-09-08,4,0
2019-09-10,3,0
2019-09-11,3,1
2019-09-13,2,1
2019-09-14,3,1
2019-09-15,4,0
2019-09-16,2,1
2019-09-17,3,1
2019-09-20,2,1
2019-09-23,2,1
2019-09-25,1,1
2019-09-26,1,1
2019-09-28,1,0
2019-09-29,1,0
2019-09-30,1,0
