날짜,단계,승패여부
2019-06-01,1,1
2019-06-02,1,0
2019-06-04,2,0
2019-06-05,1,1
2019-06-06,2,1
2019-06-07,1,1
2019-06-08,1,0
2019-06-09,1,0
2019-06-11,1,1
2019-06-12,1,0
2019-06-13,1,0
2019-06-14,1,0
2019-06-15,1,0
2019-06-16,1,0
2019-06-18,2,0
2019-06-19,2,0
2019-06-20,2,1
2019-06-21,2,0
2019-06-22,2,1
2019-06-23,2,0
2019-06-25,1,1
2019-06-27,2,0
2019-06-28,2,0
2019-06-30,2,0
2019-07-02,1,0
2019-07-03,2,0
2019-07-04,2,0
2019-07-05,3,0
2019-07-06,2,1
2019-07-07,2,0
2019-07-09,2,1
2019-07-11,2,0
2019-07-12,2,0
2019-07-13,2,1
2019-07-14,2,0
2019-07-16,2,0
2019-07-17,1,0
2019-07-18,2,0
2019-07-26,3,0
2019-07-27,3,0
2019-07-28,3,0
2019-07-30,2,0
2019-07-31,3,1
2019-08-01,3,1
2019-08-03,3,0
2019-08-04,3,1
2019-08-06,3,0
2019-08-07,3,1
2019-08-08,3,0
2019-08-09,3,0
2019-08-10,3,0
2019-08-11,3,1
2019-08-13,3,0
2019-08-14,3,1
2019-08-15,3,0
2019-08-16,3,1
2019-08-17,2,1
2019-08-18,2,1
2019-08-20,3,0
2019-08-22,2,0
2019-08-23,1,0
2019-08-24,2,0
2019-08-25,2,0
2019-08-27,2,0
2019-08-28,2,1
2019-08-30,1,1
2019-08-31,1,0
2019-09-01,2,1
2019-09-03,1,0
2019-09-04,2,0
2019-09-05,2,1
2019-09-06,2,0
2019-09-07,3,1
2019-09-08,3,0
2019-09-10,2,0
2019-09-11,2,1
2019-09-13,1,1
2019-09-14,2,1
2019-09-15,3,0
2019-09-16,1,1
2019-09-17,2,1
2019-09-20,1,1
2019-09-23,1,1
2019-09-25,1,1
2019-09-26,1,1
2019-09-28,1,0
2019-09-29,1,0
2019-09-30,1,0
