,날짜,불쾌지수,단계
0,06.02,74,2
1,06.03,76,3
2,06.04,77,3
3,06.05,76,3
4,06.06,79,3
5,06.07,79,3
6,06.09,75,3
7,06.10,74,2
8,06.11,76,3
9,06.12,77,3
10,06.13,78,3
11,06.14,76,3
12,06.16,77,3
13,06.17,73,2
14,06.18,71,2
15,06.19,71,2
16,06.20,73,2
17,06.21,74,2
18,06.23,78,3
19,06.24,72,2
20,06.25,76,3
21,06.26,76,3
22,06.27,78,3
23,06.28,79,3
24,07.01,73,2
25,07.02,74,2
26,07.03,75,3
27,07.04,75,3
28,07.05,74,2
29,07.07,77,3
30,07.08,79,3
31,07.09,80,4
32,07.10,76,3
33,07.11,78,3
34,07.13,69,2
35,07.14,68,2
36,07.15,73,2
37,07.16,75,3
38,07.17,78,3
39,07.18,78,3
40,07.19,75,3
41,07.21,79,3
42,07.22,76,3
43,07.24,73,2
44,07.26,79,3
45,07.27,76,3
46,07.29,78,3
47,07.30,79,3
48,07.31,80,4
49,08.01,78,3
50,08.05,81,4
51,08.06,78,3
52,08.09,81,4
53,08.11,79,3
54,08.12,80,4
55,08.13,80,4
56,08.14,82,4
57,08.15,86,4
58,08.16,84,4
59,08.18,77,3
60,08.19,77,3
61,08.20,84,4
62,08.21,83,4
63,08.23,80,4
64,08.24,81,4
65,08.25,81,4
66,08.26,79,3
67,08.27,82,4
68,08.29,81,4
69,08.30,84,4
70,09.01,80,4
71,09.03,74,2
72,09.04,75,3
73,09.05,76,3
74,09.06,73,2
75,09.08,76,3
76,09.09,78,3
77,09.09,75,3
78,09.10,74,2
79,09.11,72,2
80,09.12,69,2
81,09.13,71,2
82,09.15,74,2
83,09.16,74,2
84,09.17,70,2
85,09.18,70,2
86,09.19,72,2
87,09.20,72,2
88,09.22,69,2
89,09.23,68,2
90,09.24,69,2
91,09.25,71,2
92,09.26,72,2
93,09.27,71,2
94,09.29,68,2
95,09.30,71,2
