,날짜,불쾌지수,단계
0,06.01,70,2
1,06.02,75,3
2,06.03,75,3
3,06.05,74,2
4,06.06,77,3
5,06.07,74,2
6,06.08,76,3
7,06.09,75,3
8,06.10,72,2
9,06.12,71,2
10,06.13,73,2
11,06.14,74,2
12,06.15,71,2
13,06.16,73,2
14,06.17,74,2
15,06.19,73,2
16,06.20,73,2
17,06.21,71,2
18,06.22,74,2
19,06.23,74,2
20,06.24,80,4
21,06.26,77,3
22,06.27,78,3
23,06.28,77,3
24,06.29,78,3
25,06.30,74,2
26,07.03,80,4
27,07.04,79,3
28,07.05,79,3
29,07.06,73,2
30,07.07,74,2
31,07.08,76,3
32,07.10,81,4
33,07.11,82,4
34,07.12,82,4
35,07.17,78,3
36,07.18,79,3
37,07.19,79,3
38,07.20,83,4
39,07.21,83,4
40,07.22,82,4
41,07.24,85,4
42,07.25,83,4
43,07.26,84,4
44,07.27,84,4
45,07.28,85,4
46,07.29,81,4
47,07.31,84,4
48,08.01,84,4
49,08.02,85,4
50,08.04,84,4
51,08.05,83,4
52,08.07,83,4
53,08.08,83,4
54,08.09,81,4
55,08.10,81,4
56,08.11,81,4
57,08.12,82,4
58,08.14,80,4
59,08.16,75,3
60,09.04,74,2
61,09.05,73,2
62,09.06,74,2
63,09.07,70,2
64,09.08,73,2
65,09.09,73,2
66,09.11,67,1
67,09.12,69,2
68,09.13,72,2
69,09.14,71,2
70,09.15,76,3
71,09.16,73,2
72,09.18,73,2
73,09.19,72,2
74,09.20,70,2
75,09.21,71,2
76,09.22,71,2
77,09.23,71,2
78,09.25,68,2
79,09.26,68,2
80,09.27,67,1
81,09.28,66,1
82,09.29,72,2
83,09.30,70,2
