날짜,단계,승패여부
2020-06-02,1,0
2020-06-03,2,0
2020-06-04,2,0
2020-06-05,2,0
2020-06-06,2,0
2020-06-07,2,0
2020-06-09,2,0
2020-06-10,1,0
2020-06-11,2,0
2020-06-12,2,0
2020-06-13,2,1
2020-06-14,2,1
2020-06-16,2,0
2020-06-17,1,0
2020-06-18,1,0
2020-06-19,1,0
2020-06-20,1,1
2020-06-21,1,0
2020-06-23,2,0
2020-06-24,1,0
2020-06-25,2,1
2020-06-26,2,1
2020-06-27,2,0
2020-06-28,2,0
2020-07-01,1,0
2020-07-02,1,0
2020-07-03,2,0
2020-07-04,2,1
2020-07-05,1,0
2020-07-07,2,1
2020-07-08,2,0
2020-07-09,3,0
2020-07-10,2,1
2020-07-11,2,0
2020-07-13,1,1
2020-07-14,1,0
2020-07-15,1,1
2020-07-16,2,0
2020-07-17,2,0
2020-07-18,2,0
2020-07-19,2,0
2020-07-21,2,0
2020-07-22,2,0
2020-07-24,1,0
2020-07-26,2,0
2020-07-27,2,0
2020-07-29,2,1
2020-07-30,2,0
2020-07-31,3,1
2020-08-01,2,0
2020-08-05,3,1
2020-08-06,2,0
2020-08-09,3,0
2020-08-11,2,1
2020-08-12,3,0
2020-08-13,3,0
2020-08-14,3,0
2020-08-15,3,0
2020-08-16,3,1
2020-08-18,2,0
2020-08-19,2,0
2020-08-20,3,0
2020-08-21,3,1
2020-08-23,3,1
2020-08-24,3,1
2020-08-25,3,0
2020-08-26,2,0
2020-08-27,3,1
2020-08-29,3,0
2020-08-30,3,0
2020-09-01,3,0
2020-09-03,1,0
2020-09-04,2,1
2020-09-05,2,0
2020-09-06,1,0
2020-09-08,2,1
2020-09-09,2,0
2020-09-09,2,1
2020-09-09,1,0
2020-09-09,1,1
2020-09-10,1,0
2020-09-11,1,0
2020-09-12,1,0
2020-09-13,1,0
2020-09-15,1,1
2020-09-16,1,0
2020-09-17,1,0
2020-09-18,1,1
2020-09-19,1,0
2020-09-20,1,1
2020-09-22,1,1
2020-09-23,1,1
2020-09-24,1,1
2020-09-25,1,1
2020-09-26,1,0
2020-09-27,1,0
2020-09-29,1,0
2020-09-30,1,1
